Wavelength (nm),Energy (eV),e1,e2,n,k
674.240845,1.839105,16.284086,0.37217,4.035618,0.046111
675.825195,1.834794,16.248842,0.35789,4.031229,0.04439
677.409424,1.830503,16.213865,0.343983,4.026871,0.042711
678.99353,1.826232,16.179159,0.330442,4.022542,0.041074
680.577637,1.821982,16.144722,0.317262,4.018243,0.039478
682.16156,1.817751,16.110554,0.304437,4.013975,0.037922
683.745483,1.81354,16.076653,0.29196,4.009736,0.036406
685.329285,1.809349,16.043024,0.279827,4.005527,0.03493
686.913025,1.805178,16.009663,0.268031,4.001348,0.033493
688.496643,1.801026,15.976572,0.256567,3.997199,0.032093
690.0802,1.796893,15.943749,0.24543,3.993081,0.030732
691.663696,1.792779,15.911196,0.234613,3.988992,0.029408
693.247009,1.788684,15.878912,0.224111,3.984935,0.02812
694.830322,1.784608,15.846896,0.21392,3.980907,0.026868
696.413513,1.780551,15.815149,0.204033,3.976909,0.025652
697.996643,1.776513,15.78367,0.194446,3.972942,0.024471
699.579651,1.772493,15.75246,0.185154,3.969006,0.023325
701.162537,1.768492,15.721519,0.176151,3.965099,0.022213
702.745422,1.764508,15.690843,0.167432,3.961223,0.021134
704.328125,1.760543,15.660435,0.158993,3.957378,0.020088
705.910767,1.756596,15.630293,0.150828,3.953562,0.019075
707.493347,1.752667,15.600418,0.142933,3.949778,0.018094
709.075806,1.748755,15.570808,0.135303,3.946024,0.017144
710.658203,1.744861,15.541465,0.127933,3.9423,0.016226
712.24054,1.740985,15.512384,0.120819,3.938606,0.015338
713.822693,1.737126,15.483571,0.113956,3.934943,0.01448
715.404785,1.733284,15.455021,0.10734,3.931311,0.013652
716.986816,1.72946,15.426733,0.100966,3.927709,0.012853
718.568726,1.725653,15.398709,0.09483,3.924138,0.012083
720.150513,1.721862,15.370948,0.088927,3.920596,0.011341
721.7323,1.718089,15.343449,0.083253,3.917086,0.010627
723.313904,1.714332,15.31621,0.077805,3.913606,0.00994
724.895386,1.710592,15.289233,0.072577,3.910156,0.009281
726.476868,1.706868,15.262516,0.067567,3.906737,0.008647
728.058228,1.703161,15.236059,0.062769,3.903348,0.00804
729.639465,1.699469,15.209862,0.05818,3.899989,0.007459
731.220581,1.695795,15.183923,0.053795,3.896662,0.006903
732.801636,1.692136,15.158242,0.049612,3.893364,0.006371
734.382568,1.688493,15.13282,0.045627,3.890097,0.005864
735.96344,1.684866,15.107654,0.041834,3.88686,0.005382
737.544189,1.681255,15.082746,0.038232,3.883654,0.004922
739.124878,1.67766,15.058093,0.034816,3.880478,0.004486
740.705383,1.67408,15.033697,0.031582,3.877333,0.004073
742.285828,1.670516,15.009556,0.028527,3.874219,0.003682
743.866211,1.666966,14.985671,0.025648,3.871135,0.003313
745.446411,1.663433,14.962041,0.022941,3.868081,0.002965
747.02655,1.659914,14.938665,0.020403,3.865058,0.002639
748.606628,1.656411,14.915545,0.01803,3.862066,0.002334
750.186584,1.652922,14.892678,0.015819,3.859104,0.00205
751.766418,1.649449,14.870067,0.013768,3.856173,0.001785
753.34613,1.64599,14.847711,0.011872,3.853273,0.00154
754.925781,1.642546,14.825608,0.010128,3.850404,0.001315
756.50531,1.639116,14.803761,0.008534,3.847566,0.001109
758.084717,1.635701,14.782171,0.007087,3.844759,0.000922
759.664063,1.6323,14.760837,0.005783,3.841984,0.000753
761.243286,1.628914,14.73976,0.004619,3.83924,0.000602
762.822388,1.625542,14.718944,0.003593,3.836528,0.000468
764.401367,1.622184,14.698387,0.002702,3.833848,0.000352
765.980286,1.618841,14.678093,0.001943,3.8312,0.000254
767.559082,1.615511,14.658065,0.001313,3.828585,0.000171
769.137756,1.612195,14.638309,0.000809,3.826004,0.000106
770.71637,1.608893,14.618826,0.000429,3.823457,0.000056
772.2948,1.605604,14.599628,0.00017,3.820946,0.000022
773.873169,1.60233,14.580729,0.000029,3.818472,0.000004
775.451416,1.599069,14.562162,0,3.81604,0
777.029541,1.595821,14.543949,0,3.813653,0
778.607544,1.592587,14.526031,0,3.811303,0
780.185486,1.589366,14.508383,0,3.808987,0
781.763306,1.586158,14.490988,0,3.806703,0
783.341003,1.582963,14.473832,0,3.804449,0
784.918579,1.579782,14.456907,0,3.802224,0
786.496094,1.576613,14.440202,0,3.800027,0
788.073425,1.573457,14.423711,0,3.797856,0
789.650696,1.570315,14.407426,0,3.795712,0
791.227844,1.567184,14.39134,0,3.793592,0
