Energy (eV),Wavelength (nm),e1,e2,n,k
0.748408,1656.850952,12.05981,0,3.472724,0
0.746863,1660.276978,12.058241,0,3.472498,0
0.745326,1663.702393,12.056673,0,3.472272,0
0.743795,1667.127197,12.055104,0,3.472046,0
0.74227,1670.551392,12.053536,0,3.47182,0
0.740752,1673.974976,12.051969,0,3.471595,0
0.73924,1677.398071,12.050434,0,3.471374,0
0.737735,1680.820557,12.048931,0,3.471157,0
0.736236,1684.242432,12.047428,0,3.470941,0
0.734744,1687.663696,12.045926,0,3.470724,0
